Query,Completion result
当前非WiFi网络，请注意流量消耗,"非WiFi,流量,消耗"
保安怎么说,保安
这期很有意思，好玩,"有意思,好玩"
哈哈哈哈哈哈哈哈哈哈哈,哈哈
电池？,电池
伺服电机装洗衣机上了？,"伺服电机,洗衣机"
巡线机器人！,"巡线,机器人"
封面白马,"白马,封面"
MC好评,"MC,好评"
海尔兄弟（团长音）,"海尔兄弟,团长"
说得那么牛逼，实际上就是个大无刷foc,"牛逼,无刷,foc"
正E！,正E
三分钟前,三分钟
甲方：你就是这么宣传的？,"甲方,宣传"
反导弹系统,"反导弹,导弹,系统"
666全是草东粉,"666,草东粉"
支持了一个电机是吧,"支持,电机"
不行了，这个是真喜欢，求UP主开店,"喜欢,求,开店"
卧槽 我真喜欢,"卧槽,喜欢"
我先来，零帧起手,"我先来,零帧起手"
就是总感觉那个，有点像詹姆士，我们赢你们输,"感觉,詹姆士,赢,输"
左轮上弹,"左轮,上弹"
米莱狄,米莱狄
《流水生产线》,"流水,生产线"
甲方登场,"甲方,登场"
建议配上百鬼夜行音乐,"百鬼夜行,音乐"
安全套2333,"安全套,2333"
秒杀全部up,"秒杀,up"
要是白天就满了怎么办，路上不明发生碰撞,"白天,路上,碰撞"
中嘞看胡歌,胡歌
开拓者最爱的一集,"开拓者,最爱"
开宫！,开宫
加班咋办,加班
智能且高碳,"智能,高碳"
我们公司物流机器人就是这样运货的,"物流机器人,运货"
倒放,倒放
保洁：？,保洁
《直特换桶》,"直特,换桶"
这个视频做的一般，但还达不到我的标准，我不会给三连，希望 UP 主继续努力，我终于可以不用必须有给三连的压力了，继续加油。,"视频一般,达不到标准,不给三连,UP主,继续努力,继续加油"
占领空瓶,"占领,空瓶"
快点量产,量产
CR200J,CR200J
米莱狄,米莱狄
开拓者闻着味来啦——,开拓者
妙啊,妙
哈哈哈哈哈哈哈哈哈哈服了,"哈哈,服了"
甲方：我让你推广没让你把我拆了推广,"甲方,推广,拆了"
立  及  甬,"立,及,甬"
《逛街》,逛街
你没吃过旋转小火锅吗,旋转小火锅
我去真的太灵活了,灵活
感谢甲方妈妈！！！,"感谢,甲方"
"skibidi toilet ","skibidi,toilet"
必须量产！坐等！,"量产,坐等"
马上就成为轮行机器人,"轮行,机器人"
猜到了,猜到
这样会养成不良习惯,不良习惯
天才,天才
这个是真的有意思哎,有意思
冲刺冲刺~,冲刺
垃圾桶：我吃何同学,"垃圾桶,何同学"
咯怕,咯怕
《百鬼夜行》,百鬼夜行
互动,互动
15分钟,15分钟
批判性观看,"批判性,观看"
MC好评！！,"MC,好评"
啊？这样子？？？,"啊,这样子"
《女娲》,女娲
换电&充电,"换电,充电"
王下一桶,"王,一桶"
零帧起手怎么躲,"零帧,起手"
《巡线机器人》,"巡线,机器人"
我要这个！！,"我要,这个"
这个功能想要,"功能,想要"
莫名有点萌,萌
明年春晚换你上！！,"春晚,明年"
为什么要无视灯！！,"无视,灯"
小何智能工厂,"小何,智能工厂"
最早一次，两分钟，不对，已经三分钟了,"最早,两分钟,三分钟"
哈哈哈哈哈哈哈哈哈,哈哈
哥们如果我记错你不是给它拆了吗,"哥们,记错,拆"
甲方：我是卖洗衣机的不是卖电机的！,"甲方,洗衣机,电机"
可爱捏,可爱
太有意思了,有意思
这么准？,准
炮塔,炮塔
C             R            2             0             0              J,"C,R,2,0,0,J"
直言不讳,直言不讳
桶集重联,"桶集,重联"
立    即    桶,"立即,桶"
保洁？,保洁
这个真绷不住了,绷不住
谢谢金主,金主
天才,天才
天才！,天才
在地球online装几个模组不就行了,"地球online,模组"
快点量产！！！,量产
这是之前那个何同学嘛,何同学
好家伙从根源解决问题,"好家伙,根源,解决问题"
《王下一桶》,王下一桶
好烫,烫
开拓者最爱的一集,开拓者
第80个，五分钟前，五分钟前，五分钟前，我我我,"80,五分钟前"
飞思卡尔,飞思卡尔
甲方打钱,"甲方,打钱"
忙猜有人说MC好评,"忙猜,MC,好评"
瓦力,瓦力
刚刷完国足的视频你给我看这个？给门员换掉吧,"国足,视频,门员,换掉"
白子光环,"白子,光环"
还是太智能了,智能
想起那个自动关灯了,自动关灯
那是真支持了,支持
暴风赤红,暴风赤红
这个解决方案好像过于复杂？,"解决方案,复杂"
失踪人口回归,"失踪,回归"
好好玩的一期视频,"好玩,视频"
0分钟前！,0分钟
拉基,拉基
哈哈哈这期好有趣,"哈哈哈,有趣"
《清洁工：女娲》,"清洁工,女娲"
人造物狂欢节,"人造物,狂欢节"
《CR200J》,CR200J
需要加负重,负重
开头看一次笑一次,"开头,笑"
清洁工：我到底是不是人啊？我到底是不是人？,"清洁工,人"
秒赤，霸占空瓶,"秒赤,霸占,空瓶"
素质这一块,素质
可是…人都走了，没有人看啊,"可是,人走了,没人看"
开拓者最喜欢的一集,"开拓者,喜欢"
TRON,TRON
石,石
智械危机,"智械,危机"
不会给你三连的嘻嘻,三连
之前不是做过关灯的吗,关灯
帅完了，电费多少？,"帅,电费"
想要,想要
刚才磕到甲沟炎了,甲沟炎
《邦布》,邦布
不给我磕是吧？！,磕
？？？,？？？
《卢蒙》,卢蒙
工程机器人,"工程,机器人"
太牛了，现在有卖吗,"太牛,有卖"
所以这个袋子没了怎么换？,"袋子,换"
man,man
19分钟！,19分钟
甲方：眼前一黑,"甲方,眼前一黑"
当领导在晚上突击检查的时候 (我**** *****这什么玩意啊？这是？),"领导,晚上,突击检查"
又是看到哪个国外设计拿过来用,"国外设计,拿过来用"
哈哈哈傻儿子,"哈哈哈,傻儿子"
秧 Bot,"秧,Bot"
这个东西能不能卖给我一个？我想要,"卖,想要"
RTX ON,RTX
统治贤者统治贤者桶之贤者,"统治贤者,桶之贤者"
666把甲方拆了,"666,甲方"
机器人总动员（确信）,机器人总动员
还是没有要三连，那道坎还是过不去,"三连,坎"
跟条沙勾一样,沙勾
RoboMaster 是吧,RoboMaster
甲方爸爸,"甲方,爸爸"
23333333,233
这样环保吗,环保
执法吗 给你磕一个,"执法,磕头"
最准的一集,"最准,一集"
春晚机器人低配版,"春晚,机器人,低配版"
立整了,立整
甲方：从未设想的方案,"甲方,方案"
我就知道有rm环节（狗头）,"rm,狗头"
没装满的晚上就先别扔吧,"没装满,晚上,别扔"
。。。。。。。。。。,。。。。。。。。。
无人圾……,垃圾
菜就多练,"菜,多练"
我觉得这个比春晚机器人有用，整点实用的呀,"实用,春晚,机器人"
@穹@星,"穹,星"
28分钟前,28分钟
？？,？？
甲方:眼前一黑一黑，一黑又一黑,"甲方,眼前一黑"
cooooooool,cool
即刻生产！,生产
飞机上的应急指示灯，,"应急指示灯,飞机"
投掷区up主,"投掷区,up主"
这个好！量产！,"好,量产"
太有意思了,有意思
配乐好有电影感啊啊啊，小何的视频真的堪比电影！！,"配乐,电影感,视频,电影"
编组站吗，有点意思,"编组站,有意思"
trace on！,"trace,on"
草,草
6分钟,6分钟
666 666,666
格鲁.何,"格鲁,何"
好烫,烫
要素察觉,要素察觉
春晚机器人。,"春晚,机器人"
天呐～跟瓦力那个电影似的,"天呐,瓦力,电影"
咖啡胶囊流水线,"咖啡,胶囊,流水线"
海尔：牢弟反应的了我吗？,"海尔,牢弟"
这岂不是只能接易拉罐吗？,易拉罐
这谁写的（）,"谁,写"
这项目多少钱可以投？我王多鱼投了,"项目,多少钱,投,王多鱼"
《货运CR200J》,"货运,CR200J"
等等，鲁国的纸,"鲁国,纸"
为什么不加班,加班
200J机破了（）,"200J,机破"
百鬼夜行图,百鬼夜行
CR200J,CR200J
办公室里面的流水线,"办公室,流水线"
cc蜂巢来啦,蜂巢
我靠！好帅！！！,"我靠,好帅"
魔术回路,"魔术,回路"
鬼打墙,鬼打墙
谢谢金主,金主
"NB ",NB
哈哈哈哈哈哈，太有意思了这集,"哈哈,有意思"
要是那栋楼保安值夜班巡查，听到这种动静不得吓死,"保安,夜班,巡查,吓死"
以后我家就买海尔的产品,"海尔,产品"
可以量产吗，这个项目我王多鱼投了,"量产,项目,王多鱼,投"
甲方：眼前一黑,"甲方,眼前一黑"
入股入股，果断入股,入股
成本：1台洗衣机,"成本,洗衣机"
我嘞个豆，简直太牛了,"我嘞个豆,太牛"
感谢甲方妈妈！,"甲方,感谢"
学园都市 同款（,"学园都市,同款"
哈哈哈哈哈哈哈哈哈哈哈哈哈,哈哈
越来越像手工耿,手工耿
1分钟！,1分钟
百发百中成为现实,"百发百中,现实"
地鸣来的,地鸣
已经开始想要了，怎么办？,"想要,怎么办"
我不行了。,不行
这一套真的不量产吗？,量产
挽昼女士，是你吗？,挽昼
CR220J,CR220J
逐渐离谱但靠谱,"逐渐,离谱,靠谱"
全息地板,"全息,地板"
这个我是真想要啊！！！！,想要
这是把甲方的洗衣机给拆了。,"甲方,洗衣机,拆"
刚刚,刚刚
家里有猫狗怎么办,"猫,狗"
2333333,233
YOLO,YOLO
三连转发了,"三连,转发"
满了怎么办,"满了,怎么办"
这个东西能不能卖给我一个？我想要,"卖,想要"
王下一桶,"王,一桶"
甲方眼前一黑。,"甲方,眼前一黑"
好可爱…．,可爱
太搞了,搞
汪汪队吗,汪汪队
这是有多懒啊,懒
哈哈哈,哈哈哈
我不行了太好笑哈哈,"不行,好笑"
终结者创世纪？,"终结者,创世纪"
请保洁咯,保洁
《      C      R      2      0      0      J      》,CR200J
mc好评,"mc,好评"
真的有 2 点哈哈哈哈哈哈哈,"真的,2点,哈哈"
但是位置是不确定的呀,"位置,不确定"
感觉做的不如雀巢,"感觉,不如,雀巢"
拟吗？,拟吗
三分球！！！,三分球
戴利克,戴利克
？丝滑连招,"丝滑,连招"
哈哈哈哈哈(ಡωಡ)hiahiahia,"哈哈,大笑"
一拍即合,一拍即合
何同学为啥要浪费精力在这些事情上,"何同学,浪费精力"
未曾设想的道路,"未曾设想,道路"
秒赤！,秒赤
说吧，什么时候量产,量产
所以为什么不弄一个保洁？,保洁
很好，直接使甲方旋转（）,"很好,甲方,旋转"
102.,102
审判日后的终结者,"审判日,终结者"
正月里来是新~年儿啊啊啊,"正月,新年"
还是没看懂怎么换袋子的,"没看懂,换袋子"
千萬合影,"千萬,合影"
我去，suai,suai
18分钟前,18分钟
不会倒吗?,倒
军用化了,军用化
小何：你明天不用来了。,"小何,明天,不用来了"
有这钱请个保洁多好( ╯□╰ ),"有钱,请保洁"
可以与海康威视比一比机器人了,"海康威视,机器人"
我就说怎么弹幕这么少，原来来早了,"来早了,弹幕少"
哈哈哈哈哈哈哈哈哈哈哈,哈哈
吓死了，恨不得马上把泰坦叫来,"吓死,泰坦"
保洁和电费哪个贵？,"保洁,电费,贵"
《RTX》,RTX
手机掉了呢？,"手机,掉了"
就说像不像机器人总动员里吧？,"像不像,机器人总动员"
不如雇个保洁阿姨,保洁阿姨
毫无意义的创意,创意
电费爆炸,"电费,爆炸"
长编CR200J,CR200J
15,15
这个东西能不能卖给我一个？我想要,"东西,卖,想要"
就这个爽,爽
怎么投都能进球的篮筐,"投篮,篮筐,进球"
3000人+,3000人
那同时扔两个怎么办,"同时,扔,两个"
321上链接,"321,上链接"
一个成本多少钱,"成本,多少钱"
好好玩，好科幻,"好玩,科幻"
666,666
真想要,想要
上辈子没忘干净,"上辈子,忘干净"
我爱发明复活了,"发明,复活"
来了来了,来了
没有阿姨收,阿姨
小吵闹,小吵闹
光子血液！！！！,"光子,血液"
神金,神金
王下一桶,"王,一桶"
超能陆战队,超能陆战队
你这种不服从命令的直接销毁好吧,"不服从命令,销毁"
外面的人用望远镜看到了以为自己在做梦,"外面,望远镜,做梦"
对，我也想说机器人总动员。,机器人总动员
没做干湿分离啊啊啊啊啊,干湿分离
立及甬,"立及,甬"
想法很好，可惜成本太高,"想法,成本"
电费爆炸,"电费,爆炸"
这个好玩儿！,好玩
我黄多鱼投了，马上量产,"黄多鱼,量产"
懒羊羊,懒羊羊
我不给何同学三连,"何同学,三连"
麦块村民,"麦块,村民"
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,哈哈
快点量产,量产
你为什么不拒绝,拒绝
这个不错哎，可以上架呀,"不错,上架"
人才,人才
把这东西装篮球框上,篮球框
《比 较 简 单》,"比较,简单"
《D727机破》,"D727,机破"
《WER》,WER
女娲,女娲
能不能量产,量产
篮球可以不用打了,"篮球,打"
好担心会砸到相机,"担心,砸到,相机"
秧bot bushi,"秧bot,bushi"
春晚机器人,"春晚,机器人"
这AI谁训的？！You are FIRED!!,"AI,训,FIRED"
CR200J,CR200J
女娲！,女娲
被成功安利了这个洗衣机,"安利,洗衣机"
第一个划完（,划完
如何分类,分类
物流？,物流
闹鬼了,闹鬼